run,total_turns,panel_turns,moderator_turns,extracted_claims,rebuttals,rebuttal_rate,concessions,evidence_turns,evidence_rate,heated_turns,heated_rate,profanity_turns,profanity_rate,mean_confidence,token_total,mean_tokens,mean_latency_ms,final_group_mean,final_mean_absolute_stance,final_stance_spread,stance_shift_events,consensus_reached,final_agreement_ratio,speaking_hhi,effective_speakers,max_speaker_share
1,30,19,11,18,14,73.7,1,10,52.6,2,10.5,0,0,84.9,4930,259.5,15669,3.75,96.25,200,1,false,0.5,0.269,3.72,31.6
2,30,18,12,20,15,83.3,0,11,61.1,6,33.3,1,5.6,85.5,4789,266.1,41868,-5.5,94.5,200,2,false,0.5,0.29,3.45,38.9
3,30,17,13,21,16,94.1,0,11,64.7,0,0,0,0,89.1,4481,263.6,13427,0,100,200,0,false,0.5,0.343,2.92,47.1
4,30,17,13,21,14,82.4,0,10,58.8,1,5.9,0,0,85.8,4139,243.5,13554,0,92.5,200,2,false,0.5,0.273,3.66,35.3
5,30,18,12,18,17,94.4,0,13,72.2,2,11.1,0,0,83.1,4453,247.4,16001,-5.5,94.5,200,3,false,0.5,0.265,3.77,33.3
